Site,Quadrat,Height,Latitude,Longitude,Day,Month,Year,Slope,Aspect,Substrate,Relief,Observer,Species Code,Square,Measurement,Measurement Type,Group,Classification,Size,Distinctive trait,Common name,Vocabulary,Unique Identifier,Name,CATAMI Unique Identifier,CATAMI Name,CATAMI Version
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,2,3,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,3,4,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,4,3,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,5,3,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,6,1,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,7,4,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MAST,8,4,Percent Cover,Erect Red Algae,Mastocarpus stellatus,NA,"pappilate, channeled fronds",false irish moss,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,2,1,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,6,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,7,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,8,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,9,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,11,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,12,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,15,2,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,16,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,17,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,18,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,19,2,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,20,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,21,2,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,MYED,24,3,Percent Cover,Bivalves,Mytilus edulis,NA,"elongated, narrow end",Blue Mussel,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,FUVE,4,3,Percent Cover,Brown Algae,Fucus vesiculosus,NA,air bladders within blade,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,FUVE,5,2,Percent Cover,Brown Algae,Fucus vesiculosus,NA,air bladders within blade,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,FUVE,8,4,Percent Cover,Brown Algae,Fucus vesiculosus,NA,air bladders within blade,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,FUVE,9,4,Percent Cover,Brown Algae,Fucus vesiculosus,NA,air bladders within blade,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SCLO,1,2,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SCLO,14,1,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SCLO,15,2,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SCLO,19,1,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SCLO,21,2,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SCLO,23,2,Percent Cover,Erect Red Algae,Scytosiphon lomentaria,NA,cluster of thin tubes,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,BOVI,11,1,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,BOVI,18,0.1,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,BOVI,19,0.1,Percent Cover,Tunicates,Botrylloides violaceus,NA,"orange, thin, fleshy",orange sheath tunicate,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,CO,1,0.1,Percent Cover,Erect Red Algae,Corallina officinalis,NA,feathers,coral weed,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,1,1,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,2,3,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,3,3,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,4,3,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,6,3,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rainsford,5,Mid,42.313249,-70.950729,24,6,2021,NA,60,Cobble,Low,Byrnes,SEBA,7,3,Percent Cover,Crustaceans,Semobalanus balanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA
